Tm,BatAge,R/G_x,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,TB,GDP,HBP_x,SH,SF,IBB_x,Year,PAge,R/G_y,W,L,W-L%,ERA,RA9,G_y,GS,GF,CG,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
LG Twins,28.9,4.84,144.0,5600,4931,697,1390,216,20,110,663,76,56,438,1016,0.282,0.349,0.401,0.75,1976,123,101,75,55,17,2017,28.7,4.7,69,72,0.489,4.32,4.76,144,144,144,4,1,32,1279.0,1305,677,614,124,379,31,1040,0,3,81,5507,1.317,9.2,0.9,2.7,7.3,2.74
KT Wiz,29.3,4.53,144.0,5472,4925,652,1360,274,17,119,625,84,51,374,1010,0.276,0.333,0.411,0.7440000000000001,2025,118,66,62,45,11,2017,25.6,6.12,50,94,0.34700000000000003,5.74,6.24,144,144,144,4,2,22,1271.0,1537,881,811,175,435,10,926,5,6,78,5353,1.5519999999999998,10.9,1.2,3.1,6.6,2.13
Doosan Bears,28.5,6.55,144.0,5821,5132,943,1598,283,30,190,895,96,23,491,1010,0.311,0.377,0.489,0.867,2511,109,92,43,63,16,2018,27.6,5.09,93,50,0.65,4.93,5.19,144,144,144,1,0,41,1271.0,1372,733,696,149,466,16,1011,107,2,70,5605,1.446,9.7,1.1,3.3,7.2,2.17
Kia Tigers,30.5,5.97,144.0,5696,4990,859,1483,259,21,170,821,88,37,503,893,0.297,0.369,0.46,0.8290000000000001,2294,133,97,56,50,27,2018,28.1,5.65,70,73,0.49,5.38,5.81,144,144,144,4,0,26,1261.0,1499,814,754,180,438,28,1010,67,3,65,5660,1.536,10.7,1.3,3.1,7.2,2.31
SK Wyverns,29.5,5.72,144.0,5655,4966,823,1401,234,13,232,789,108,38,483,1072,0.282,0.358,0.475,0.8320000000000001,2357,103,119,53,34,6,2018,29.2,5.01,78,64,0.5489999999999999,4.65,5.11,144,144,144,0,0,29,1272.2,1346,722,657,186,424,15,1128,73,2,62,5549,1.391,9.5,1.3,3.0,8.0,2.66
Nexen Heroes,25.8,5.72,144.0,5771,5132,824,1481,288,19,165,787,101,33,472,1204,0.289,0.355,0.449,0.804,2302,92,85,32,50,25,2018,27.1,5.38,75,69,0.521,5.04,5.44,144,144,144,4,1,32,1280.0,1435,774,717,178,414,13,1018,97,4,59,5631,1.445,10.1,1.3,2.9,7.2,2.46
Lotte Giants,30.2,5.67,144.0,5725,5101,817,1481,288,17,202,791,68,32,461,1140,0.29,0.35600000000000004,0.472,0.828,2409,124,81,45,37,22,2018,30.4,5.67,68,73,0.482,5.29,5.79,144,144,144,0,0,29,1268.1,1381,816,745,160,538,23,1148,72,7,63,5699,1.513,9.8,1.1,3.8,8.1,2.13
LG Twins,29.2,5.44,144.0,5622,5034,783,1484,298,12,148,740,70,37,412,986,0.295,0.354,0.447,0.8009999999999999,2250,123,75,50,51,14,2018,27.6,5.56,68,74,0.479,5.26,5.73,144,144,144,3,2,29,1257.2,1409,801,735,158,448,13,1053,88,4,71,5614,1.477,10.1,1.1,3.2,7.5,2.35
Samsung Lions,29.8,5.39,144.0,5762,5105,776,1471,241,29,146,732,116,52,468,1032,0.28800000000000003,0.355,0.433,0.7879999999999999,2208,115,87,57,45,14,2018,28.7,5.51,68,72,0.486,5.18,5.58,144,144,144,0,0,33,1279.2,1469,794,737,185,437,10,1110,107,5,45,5711,1.489,10.3,1.3,3.1,7.8,2.54
KT Wiz,29.0,5.25,144.0,5597,5018,756,1382,264,13,206,721,80,57,464,1107,0.275,0.341,0.456,0.797,2290,103,46,43,26,14,2018,27.9,5.76,59,82,0.418,5.35,5.88,144,144,144,4,1,24,1271.1,1576,830,756,193,407,25,1024,84,1,63,5729,1.56,11.2,1.4,2.9,7.2,2.52
Hanwha Eagles,29.2,5.06,144.0,5527,4962,728,1369,248,14,152,670,118,64,417,1094,0.276,0.341,0.423,0.765,2101,113,89,31,28,17,2018,27.8,5.16,77,66,0.5379999999999999,4.87,5.3,144,144,144,0,0,37,1262.1,1370,743,683,161,464,9,1117,89,7,78,5570,1.453,9.8,1.1,3.3,8.0,2.41
NC Dinos,28.5,4.53,144.0,5378,4790,652,1268,231,18,143,626,82,35,422,1039,0.265,0.333,0.41,0.743,1964,114,88,35,43,15,2018,26.4,5.79,58,85,0.406,5.47,5.95,144,144,144,1,0,24,1261.0,1437,834,766,185,531,17,1009,64,6,92,5679,1.561,10.3,1.3,3.8,7.2,1.9
