#Bat,#P,25-Man,2B,3B,AB,Avg_Salary,BA,BB9,BB_x,BB_y,BF,BK,BatAge,Buried,CG,CS,Disabled List,ER,ERA,ERA+,FIP,GDP,GF,GS,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,R/G,RA/G,RBI,R_x,R_y,Rank,Retained,Roster,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,Suspended,TB,Tm,Total Payroll,W,WHIP,WP,Year,cSho,tSho
48,22,92127802.0,276,31,5447,2047284.4888888889,0.261,2.7,481,440,6048,5,28.9,,1,31,,582,3.63,109,3.59,114,161,162,162,162,8.4,56,33,0.9,185,147,1422,1348,53,16,1441.2,1110,1085,0.325,0.75,102,6113,29.3,4.45,3.94,693,721,638,,,45,94,44,85,0.425,2.86,7.8,1083,1257,47,,2315,MIL,92127802.0,96,1.24,70,2011,1,13
45,24,106871000.0,259,25,5487,3930330.827586207,0.247,3.0,440,480,6210,5,27.5,,7,39,,724,4.58,89,4.3,115,155,162,162,162,9.9,37,54,1.0,103,161,1357,1564,24,37,1421.2,1080,1141,0.306,0.6659999999999999,84,6020,28.5,3.82,4.96,572,619,804,,,29,92,25,31,0.36,1.96,6.0,1048,940,32,,1975,MIN,113979594.0,63,1.4380000000000002,47,2011,3,8
46,23,96163418.0,309,39,5600,3732416.8684210526,0.264,3.2,571,514,6316,7,28.0,,6,35,,674,4.19,88,4.0,112,156,162,162,162,9.2,51,70,0.9,108,147,1477,1482,56,48,1448.0,1257,1230,0.335,0.725,103,6335,30.0,4.43,4.58,676,718,742,,,38,130,48,65,0.391,2.19,7.0,1085,1126,43,,2188,NYM,141831841.0,77,1.378,46,2011,2,9
48,28,212609678.0,267,33,5518,5208772.634146341,0.263,3.1,627,507,6216,3,30.6,,5,46,,605,3.73,116,3.87,146,157,162,162,162,8.8,74,58,0.9,222,152,1452,1423,34,43,1458.1,1114,1184,0.343,0.7879999999999999,110,6306,31.0,5.35,4.06,836,867,657,,,41,147,51,36,0.444,2.41,7.5,1138,1222,47,,2451,NYY,213559678.0,97,1.3230000000000002,67,2011,3,8
48,26,69967475.0,280,29,5452,1699623.2888888891,0.244,3.2,509,519,6159,3,29.1,,6,43,,597,3.71,109,3.8,119,156,162,162,162,8.6,50,41,0.8,114,136,1330,1380,20,24,1447.2,1106,1137,0.311,0.68,88,6104,27.4,3.98,4.19,612,645,679,,,45,117,57,34,0.369,2.24,7.2,1094,1160,39,,2010,OAK,76483048.0,74,1.3119999999999998,53,2011,1,12
42,23,169799882.0,258,38,5579,4472846.894736842,0.253,2.5,539,404,6069,6,31.5,,18,24,,495,3.02,127,3.24,108,144,162,162,162,8.0,56,47,0.7,153,120,1409,1320,52,41,1477.0,1197,1109,0.32299999999999995,0.7170000000000001,96,6279,29.2,4.4,3.27,693,713,529,,,38,96,38,65,0.395,3.22,7.9,1024,1299,47,,2202,PHI,169968182.0,102,1.167,23,2011,7,21
52,25,46784667.0,277,35,5421,1079838.3777777778,0.244,3.3,489,535,6317,6,27.2,,5,52,,650,4.04,92,4.2,123,157,162,162,162,9.4,34,62,0.9,107,152,1325,1513,31,65,1449.1,1079,1257,0.309,0.6759999999999999,90,6064,28.1,3.77,4.4,580,610,712,,,45,108,44,75,0.368,1.93,6.4,1308,1031,43,,1993,PIT,48592727.0,72,1.413,60,2011,3,11
48,22,47418810.0,247,42,5417,1297805.6756756757,0.237,3.2,501,521,6065,6,28.0,,0,44,,551,3.42,104,3.73,105,162,162,162,162,8.2,48,37,0.8,91,125,1284,1324,42,56,1449.1,1103,1106,0.305,0.653,85,6074,28.1,3.66,3.77,563,593,611,,,37,170,47,55,0.349,2.19,7.1,1320,1139,44,,1888,SDP,48018810.0,71,1.273,45,2011,0,10
47,21,88907834.0,253,22,5421,2414979.714285714,0.233,2.7,435,436,6014,6,29.4,,12,40,,621,3.9,97,3.84,82,150,162,162,162,8.6,37,51,0.9,109,145,1263,1369,33,27,1433.0,1083,1040,0.292,0.64,84,5972,26.8,3.43,4.17,534,556,675,,,42,125,41,38,0.348,2.5,6.8,1280,1088,39,,1887,SEA,101429148.0,67,1.26,68,2011,3,10
44,17,124882250.0,282,24,5486,3230314.1025641025,0.242,3.4,448,559,6130,4,30.2,,3,51,,522,3.2,109,3.33,117,159,162,162,162,7.7,52,50,0.6,121,96,1327,1260,47,46,1468.0,1127,1148,0.303,0.6709999999999999,91,6091,28.5,3.52,3.57,534,570,578,,,39,85,43,62,0.368,2.35,8.1,1122,1316,52,,2020,SFG,125982250.0,86,1.239,42,2011,2,12
46,24,113348748.0,308,22,5532,2996341.333333333,0.273,2.8,542,448,6211,3,29.3,,7,39,,608,3.74,99,3.75,169,155,162,162,162,9.0,44,46,0.8,162,136,1513,1461,64,44,1462.0,1127,1133,0.341,0.7659999999999999,112,6242,30.2,4.7,4.27,726,762,692,,,39,57,40,84,0.425,2.45,6.8,978,1098,47,,2351,STL,116857312.0,90,1.306,48,2011,5,9
